universidad,tipo_gestion,es_publico,es_licenciada,es_universidad,doc_total,mat_total,egr_total,n_renacyt,score_mat,score_egr,score_concytec,pct_doctorado,pct_maestria,pct_renacyt_doc,pct_exclusiva,pct_tc,pct_contratado,pct_ordinario,edad_media_doc,pct_fem_doc,pct_fem_mat,pct_discap,pct_posgrado,edad_media_mat,n_departamentos,nota_prom_egr,creditos_prom_egr,pct_posgrado_egr,puntaje_medio,nivel_medio,pct_prod_rec,antiguedad_med,n_areas_ocde,pct_fem_renacyt,ratio_mat_doc,ratio_egr_mat
Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Público,1,1,1,279,4908,280.0,214,100,100,100,6.09,22.58,76.703,3.58,46.59,1.79,49.82,47.51,26.52,47.43,1.16,9.03,23.25,1,14.162,203.6,14.64,61.636,3.407,82.243,2.995,6,34.579,17.6,5.7
Universidad Antonio Ruiz de Montoya,Privado,0,1,1,62,3370,62.0,23,100,100,100,0.0,12.9,37.097,0.0,19.35,87.1,12.9,50.39,37.1,63.03,0.74,4.33,23.51,1,15.222,210.5,3.23,22.109,1.478,39.13,3.042,4,34.783,54.4,1.84
Universidad Católica San Pablo,Privado,0,1,1,248,9762,1133.0,57,100,100,100,0.0,4.44,22.984,0.0,18.95,84.68,10.89,45.48,38.71,51.03,0.27,3.88,22.46,1,14.729,203.7,9.0,35.456,2.211,49.123,4.255,5,43.86,39.4,11.61
Universidad Nacional Federico Villarreal,Público,1,1,1,1069,15113,10906.0,52,100,86,100,0.0,0.0,4.864,3.84,43.12,15.9,84.1,64.75,33.3,49.13,0.49,0.0,22.87,1,16.104,129.4,37.02,38.433,2.365,42.308,3.234,6,44.231,14.1,72.16
Universidad Nacional Amazónica de Madre de Dios,Público,1,1,1,118,4255,49.0,54,100,100,92,0.0,0.0,45.763,15.25,11.02,71.19,28.81,44.58,34.75,52.69,1.13,0.0,22.24,1,14.224,234.0,0.0,43.565,2.667,55.556,2.972,6,31.481,36.1,1.15
Universidad Privada Antenor Orrego,Privado,0,1,1,1200,32086,211.0,115,100,100,100,0.0,0.33,9.583,0.08,15.42,86.25,13.67,49.68,37.5,57.49,0.15,1.58,21.92,2,14.285,223.1,0.0,34.691,2.252,53.043,2.875,6,35.652,26.7,0.66
Universidad Católica Los Ángeles de Chimbote,Privado,0,1,1,7,31418,10906.0,14,86,86,100,0.0,0.0,200.0,0.0,42.86,57.14,42.86,58.57,42.86,48.05,0.09,2.05,21.18,1,16.104,129.4,37.02,27.25,1.857,57.143,2.595,5,21.429,4488.3,34.71
Universidad Femenina del Sagrado Corazón,Privado,0,1,1,395,3506,741.0,11,100,100,100,2.78,8.35,2.785,0.25,20.25,79.49,20.51,54.84,63.8,99.0,0.09,10.52,25.44,1,16.573,193.0,26.72,31.409,2.182,45.455,2.205,5,63.636,8.9,21.14
Universidad de Lima,Privado,0,1,1,1525,31418,3056.0,104,100,100,100,0.59,8.98,6.82,0.07,17.44,46.82,53.11,49.98,30.1,48.05,0.09,2.05,21.18,1,15.547,206.7,6.38,38.928,2.5,51.923,3.685,6,31.731,20.6,9.73
Escuela de Postgrado Gerens S.A.,Privado,0,1,0,7,55,1495.0,1,100,86,86,0.0,100.0,14.286,0.0,42.86,57.14,42.86,62.14,42.86,20.0,0.0,100.0,38.27,1,15.848,218.0,4.01,20.0,1.0,0.0,3.707,1,0.0,7.9,2718.18
Universidad Nacional Hermilio Valdizán de Huánuco,Público,1,1,1,578,11703,1415.0,11,100,100,95,0.0,0.0,1.903,31.83,23.53,21.8,67.13,55.49,31.14,50.61,2.72,32.05,28.61,1,15.119,168.2,11.8,35.955,2.273,45.455,2.808,5,36.364,20.2,12.09
Universidad Continental S.A.C.,Privado,0,1,1,2022,81547,2197.0,178,100,100,100,1.58,17.61,8.803,0.0,24.09,96.79,2.52,47.21,34.37,46.01,0.4,4.91,26.53,4,15.306,217.0,0.0,41.789,2.466,57.303,2.967,6,32.022,40.3,2.69
Pontificia Universidad Católica del Perú,Privado,0,1,1,3349,32620,1198.0,259,100,100,100,3.19,27.98,7.734,0.0,25.59,67.93,30.25,49.35,35.17,47.53,0.27,19.83,24.59,1,14.646,203.0,5.59,74.025,3.347,30.116,4.995,6,32.819,9.7,3.67
Universidad Privada del Norte S.A.C.,Privado,0,1,1,2109,133042,6044.0,219,100,100,100,0.0,7.68,10.384,0.0,17.35,91.04,4.46,44.35,35.8,51.72,0.25,1.24,24.31,3,16.424,206.7,0.0,38.178,2.265,46.119,2.592,6,35.16,63.1,4.54
Universidad Científica del Sur S.A.C.,Privado,0,1,1,2075,32896,1245.0,203,100,100,100,0.0,5.64,9.783,0.0,17.45,91.23,0.96,46.05,38.89,64.54,0.32,3.5,22.57,1,16.132,228.4,0.0,73.35,3.256,56.65,3.909,6,40.887,15.9,3.78
Universidad Católica Sedes Sapientiae,Privado,0,1,1,462,13844,433.0,18,100,100,100,0.0,6.06,3.896,0.43,32.03,71.86,16.45,48.38,40.48,60.11,0.44,2.25,23.72,5,14.825,206.7,0.0,34.889,2.278,61.111,2.474,6,38.889,30.0,3.13
Universidad Nacional del Callao,Público,1,1,1,809,11537,661.0,133,100,100,100,5.44,20.64,16.44,21.63,35.85,26.21,73.55,61.0,24.1,39.9,0.35,20.22,27.36,1,14.201,213.0,0.0,31.966,2.165,69.173,2.435,6,29.323,14.3,5.73
Universidad Ricardo Palma,Privado,0,1,1,307,11611,1736.0,103,100,100,100,1.3,9.45,33.55,3.58,26.06,55.37,44.63,57.93,37.13,53.18,0.12,5.37,23.52,1,14.228,217.8,5.7,48.951,2.68,38.835,3.667,6,46.602,37.8,14.95
Universidad Privada San Juan Bautista S.A.C.,Privado,0,1,1,1373,24145,3482.0,3,100,100,100,0.0,4.95,0.218,0.0,26.15,89.73,6.12,49.36,39.91,60.55,0.27,3.7,23.72,2,15.547,185.9,16.8,60.333,3.333,66.667,2.954,2,0.0,17.6,14.42
