universidad,pct_doctorado,pct_maestria,pct_renacyt_doc,pct_exclusiva,pct_tc,pct_contratado,pct_ordinario,edad_media_doc,pct_fem_doc,pct_fem_mat,pct_discap,pct_posgrado,edad_media_mat,n_departamentos,nota_prom_egr,creditos_prom_egr,pct_posgrado_egr,puntaje_medio,nivel_medio,pct_prod_rec,antiguedad_med,n_areas_ocde,pct_fem_renacyt,ratio_mat_doc,ratio_egr_mat
Universidad Nacional Hermilio Valdizán de Huánuco,-0.4643282816197503,-0.5119880234458101,4.033849353845201,1.63527143049152,-0.2923142759099604,-1.098575953450135,1.1255374965793088,0.7654737237109676,-0.11126525493485212,0.07903030451519136,3.0715594015679413,1.2501780206519129,0.5798080596235297,-0.2678562584008606,0.1945382466078449,-0.5411138919944852,-0.09193537841542263,-0.05364373160929221,0.3146977785890979,0.19484135798998414,0.010357858521715916,0.1412289024993773,0.5919943729573593,-0.13446555550921005,-0.22438252659395014
Universidad Continental S.A.C.,0.6435153701642848,0.3410676464497228,-0.10688357947194883,-0.48509407660526555,-0.2653610386142012,1.2333627059083516,-0.9643034840313625,-0.7398379565508898,0.15125441281780447,-0.27430172647065926,-0.41330408070890473,-0.2006665209804012,0.1618932721347233,1.2620150636194392,0.3655896149028346,0.551837082128075,-0.6618117928529514,0.36169111925484204,0.9612959395890469,0.6175788663094113,0.1961995858192796,0.7767589637465749,0.0738284558948523,-0.08964295283771165,-0.23878294446449974
Pontificia Universidad Católica del Perú,1.772394027994852,0.8434065048720214,4.163022998212114,-0.48509407660526555,-0.19316486728627466,0.33591304983306264,-0.06736353058245485,-0.35078397155567537,0.21627476396397372,-0.1575485336231606,-0.6085766034226936,0.5969237723561547,-0.22789263542695248,-0.2678562584008606,-0.23812109672654122,0.23828557315848814,-0.39184491516602044,0.35021273275357856,1.619890355895119,0.2681733747392723,-0.15223060701453398,0.1412289024993773,-1.1158381904221288,-0.15788034794954506,-0.23728162430352756
Universidad Privada del Norte S.A.C.,-0.4643282816197503,-0.13995693061232387,-0.5769321186959928,-0.48509407660526555,-0.5897625017810177,1.0545569012502465,-0.9015532673097295,-1.259788609394961,0.26747829049158134,0.16429085981829872,-0.6386185299940457,-0.3968566266469669,-0.28415039528121516,0.7520579562793392,1.3882389718750225,0.3211527576718787,-0.6618117928529514,-0.49493701065243517,-1.362678619589343,1.093158563168767,-2.5284708253126924,-0.49430115874782027,0.19874345375813515,-0.03879940353869849,-0.23594881967082776
Universidad Científica del Sur S.A.C.,-0.4643282816197503,-0.23877768964621865,0.5174557016347965,-0.48509407660526555,-0.5849494236924894,1.060465266969384,-1.014762421188964,-0.9507270325296047,0.5186193967936589,1.1490118679136478,-0.5334717869943133,-0.2760420111683733,-0.6337521886612744,-0.2678562584008606,1.1211427176389968,0.8071575965747387,-0.6618117928529514,0.12049509842698165,0.7572396368319201,0.4001710048879916,0.7878441473330089,0.7767589637465749,0.6234544464932974,-0.14405447050858533,-0.23711310877525515
Universidad Católica Sedes Sapientiae,-0.4643282816197503,-0.21843223925688737,-0.3580545546298349,-0.45644949074124996,0.11679736161495667,0.4581229302341673,-0.5137310515920086,-0.5271308712964966,0.6478473446966693,0.8087377598120565,-0.35322022756620053,-0.3428642542428167,-0.40269353211698244,1.771972170959539,-0.07438743402705997,0.3211527576718787,-0.6618117928529514,-0.1653724041949762,-0.021197369982304367,0.3458190395326369,-0.5478126071463155,0.7767589637465749,0.4069351168636066,-0.11261174923156407,-0.23810888235141017
Universidad Nacional del Callao,3.350019481484776,0.4878455385441842,-0.5231097668764457,0.9557952076706839,0.3006569445967429,-0.9614396754427884,1.3331954302663622,1.76719683460986,-0.6834443450211382,-0.7436188371931693,-0.48840889713728514,0.6177723121953811,0.3286573459884295,-0.2678562584008606,-0.6451684704766519,0.46225093670819306,-0.6618117928529514,0.010915054160253195,0.5186341187931635,1.5881496762264635,-0.0648637930034891,-0.49430115874782027,1.3110817680645122,-0.14762243888044593,-0.2341257880467901
Universidad Ricardo Palma,0.44718864706331657,-0.05421538968585635,-0.04588491407646224,-0.24661124545834465,-0.17054340027019108,-0.05466102086359842,0.397764364498515,1.2090679869765386,0.37557462427208754,0.2764353740007644,-0.8338910527078345,-0.17607593552900602,-0.4428776462985983,-0.2678562584008606,-0.6204712140918145,0.5697543112120517,-0.38653250791278915,0.16891418775414074,1.5281190028032887,-1.2167999644338177,3.0448854725241703,-1.1298312199950178,-1.924811509917676,-0.09521790341874378,-0.22000112285886808
Universidad Privada San Juan Bautista S.A.C.,-0.4643282816197503,-0.27220235814297716,-0.14276514735164686,-0.48509407660526555,-0.16621162999051547,1.0138202744498783,-0.8478597828984353,-0.34896596227999716,0.6015203445050239,0.8425347366889637,-0.6085766034226936,-0.26535045227646237,-0.40269353211698244,0.2421008489392393,0.5860354959675025,-0.1446951985115071,0.14953767854963193,0.3439024754979087,1.3139858455890192,0.7081654752350025,-0.0691733667887871,-1.1298312199950178,-1.924811509917676,-0.14026350411348348,-0.22081306131327139
Universidad Nacional de Cañete,2.7259809687709833,0.42390269446342876,-0.7455754877305734,-0.1067190819364078,1.0365765843327408,-0.8224375977346616,0.7920556747236207,-0.03808637613896129,-0.0559979564606086,-0.37646077021222024,0.3828069734319265,0.032944040807852765,-0.448905263425841,-0.2678562584008606,1.3964713906699688,-0.5187173556395147,0.8763715800144463,-0.4579856003764453,-1.202078751678641,0.5156689312681209,-1.5847231387617704,-0.49430115874782027,-0.5091082008004685,-0.12509963853307607,-0.222038628791616
Universidad Nacional Tecnológica de Lima Sur,-0.4643282816197503,-0.5119880234458101,0.5174557016347965,-0.4384633554312866,1.5920057957489224,-1.075564423807179,1.4596662278857355,0.02736195778546718,-1.039430767546413,-1.8788900150129235,-0.3081573377091724,-0.2760420111683733,-0.47703414335297156,-0.2678562584008606,-0.6780981456564374,0.551837082128075,-0.6618117928529514,0.2462517720799005,0.9415803547815955,-0.26268665955448933,1.2004049263050314,0.7767589637465749,-1.0630790608898104,-0.14316247841562021,-0.2296065079703942
Universidad Nacional Santiago Antúnez de Mayolo,0.15269856241186416,-0.001898517256147338,0.13711108210999762,0.788590764603988,1.4461695296665105,-1.3781349419503723,1.5929295747378633,0.5545846477322527,-0.2185488343260308,-0.5185616957173994,-0.39828311742322875,-0.027463266931443985,-0.44086844058951724,-0.2678562584008606,1.095530748054718,-1.4100995025673397,1.1260547209163128,-0.12315153184858552,0.21538964770711766,0.23947823775042043,0.21985765293034118,0.7767589637465749,-0.07824197628653579,-0.14717644283396336,-0.04019505419222935
Universidad de Ingeniería y Tecnología,-0.4643282816197503,0.10951704439971446,1.1597357666813908,-0.48509407660526555,-0.8496687185615533,0.9615778828280317,-0.8310401371792348,-1.5743042140873547,-1.239368347320882,-1.6515285342046373,-0.728744309708102,-0.16752268841547727,-0.7362216798243956,-0.2678562584008606,0.06739311188590089,0.135261505925624,-0.48360467681274116,0.76693241382993,2.384651631660365,0.7081654752350025,0.908969289328889,0.1412289024993773,0.9065951083167388,-0.13357356341624493,-0.23311469487715578
